iter	score	hausdorff	verdict	n_layers	max_skew	cells	decision	change	notes
0	40.557	0.1527	FAIL	1	229.70	4768	baseline	(none)	hard_fails=1 soft_fails=2
1	50.525	0.1483	PASS_WITH_WARNINGS	1	4.16	4768	keep	BL3-dominant when local-edge thickness >> aspect-capped BL1	skew 230→4.16
2	80.317	0.1535	PASS	1	4.16	4768	keep	rename bl_side→bl_internal_domain (excluded from fidelity)	verdict FAIL→PASS
2b	93.651	0.1535	PASS	3	4.16	4768	verify-fix	n_layers via n_prism_cells/n_wall_faces	(re-measure same state)
3	93.619	0.1511	PASS	3	6.75	11997	discard	wildmesh epsilon 0.002→0.0008 + max_its 80	more cells, no hausdorff win
4	93.338	0.1619	PASS	3	3.69	4585	discard	wildmesh max_its 40→80	hausdorff worse
5	93.725	0.1510	PASS	3	4.70	8610	keep	pre-densify STL when n_faces<256 (cube 12→768)	+0.07 vs baseline
6	95.058	0.1173	PASS	3	5.03	8386	keep	pre-densify target 256→1024	hausdorff -22%
7	95.007	0.1189	PASS	3	4.72	8582	discard	max_subdiv 4→6	noise
8	92.782	0.1740	PASS	3	5.11	8591	discard	epsilon 0.002→0.0005	hausdorff worse
9	95.007	0.1189	PASS	3	4.72	8582	discard	subdivide_to_size additional	noise
10	95.058	0.1173	PASS	3	5.03	8386	(no effect)	snap_threshold ×50	verts already on surface
11	63.935	0.1420	WARN	3	7.67	8789	discard	skip_simplify=True coarsen=False	verdict regress
12	94.875	0.1215	PASS	3	5.33	7896	discard	edge_length_r 0.06→0.03	noise
13	95.031	0.1162	PASS	3	6.41	11766	discard	max_its 80 + edge 0.05	noise
14	95.058	—	—	—	—	—	plateau	final state — fTetWild hausdorff floor	(11 iters w/o new best)
