engine,key,title,authors,year,venue,doi,open_source,status,local_note,implementation_topics
native_tri,hu2016_error_bounded,"Error-Bounded and Feature Preserving Surface Remeshing with Minimal Angle Improvement","Hu; Yan; Bommes; Alliez; Benes",2016,"IEEE TVCG / arXiv","10.1109/TVCG.2016.2632720","https://arxiv.org/pdf/1611.02147",FULL_READ,"native_tri/hu2016_error_bounded.md","priority queue; collapse; split; relocate; symmetric Hausdorff; feature intensity"
native_tri,botsch2004_remeshing,"A Remeshing Approach to Multiresolution Modeling","Botsch; Kobbelt",2004,"Symposium on Geometry Processing","10.1145/1057432.1057457","https://diglib.eg.org/items/eb9aa09f-d8f7-464a-bc41-4b5ea7b8136d",FULL_READ,"native_tri/botsch2004_remeshing.md","split; collapse; flip; tangential smoothing; projection"
native_tri,dunyach2013_adaptive,"Adaptive Remeshing for Real-Time Mesh Deformation","Dunyach; Vanderhaeghe; Barthe; Botsch",2013,"Eurographics Short Papers","10.2312/conf/EG2013/short/029-032","https://diglib.eg.org/items/bd0987f0-b1d0-45cc-bde4-2a99ebf51946",FULL_READ,"native_tri/dunyach2013_adaptive.md","curvature sizing; adaptive isotropic remeshing; runtime"
native_tri,alliez2005_cvt_isotropic,"Centroidal Voronoi Diagrams for Isotropic Surface Remeshing","Alliez; Colin de Verdiere; Devillers; Isenburg",2005,"Graphical Models",10.1016/j.gmod.2004.06.007,https://ligm.univ-eiffel.fr/~colinde/pub/02remesh.pdf,FULL_READ,"native_tri/alliez2005_cvt_isotropic.md","exact sample budget; error diffusion; constrained Delaunay; weighted CVT; parameterization"
native_tri,yan2009_rvd,"Isotropic Remeshing with Fast and Exact Computation of Restricted Voronoi Diagram","Yan; Levy; Liu; Sun; Wang",2009,"Computer Graphics Forum","10.1111/j.1467-8659.2009.01521.x","https://diglib.eg.org/items/0194d89c-77db-4558-a66d-2a4fbbf57923",FULL_READ,"native_tri/yan2009_rvd.md","exact RVD clipping; RCVT; CCVT; L-BFGS; RDT validity"
native_tri,mandad2015_tolerance,"Isotopic Approximation within a Tolerance Volume","Mandad; Cohen-Steiner; Alliez",2015,"ACM Transactions on Graphics","10.1145/2766950","user-supplied PDF",FULL_READ,"native_tri/mandad2015_tolerance.md","tolerance volume; isotopy; intersection-free output; complexity"
native_tri,hoppe1993_mesh_optimization,"Mesh Optimization","Hoppe; DeRose; Duchamp; McDonald; Stuetzle",1993,"SIGGRAPH","10.1145/166117.166119","https://hhoppe.com/proj/meshopt/",QUEUED,,"joint connectivity; position; fidelity; complexity"
native_tri,vorsatz2001_feature_sensitive,"Feature Sensitive Remeshing","Vorsatz; Roessl; Kobbelt; Seidel",2001,"Computer Graphics Forum","10.1111/1467-8659.00532","https://www.graphics.rwth-aachen.de/media/papers/resample1.pdf",QUEUED,,"feature-sensitive density; particle relaxation"
native_tri,surazhsky2003_explicit,"Explicit Surface Remeshing","Surazhsky; Gotsman",2003,"Symposium on Geometry Processing","10.2312/SGP/SGP03/020-030","https://diglib.eg.org/items/8f1dac05-aca1-4973-87e8-27a340397957",FULL_READ,"native_tri/surazhsky2003_explicit.md","local operators; area smoothing; source provenance; dynamic patches"
native_tri,surazhsky2003_local_parameterization,"Isotropic Remeshing of Surfaces: A Local Parameterization Approach","Surazhsky; Alliez; Gotsman",2003,"International Meshing Roundtable",,"https://citeseerx.ist.psu.edu/document?doi=b8961083b1387f4bd4262d5034d00b395bea12df&repid=rep1&type=pdf",QUEUED,,"local parameterization; local CVT; arbitrary genus"
native_tri,vorsatz2003_dynamic,"Dynamic Remeshing and Applications","Vorsatz; Roessl; Seidel",2003,"ACM Symposium on Solid Modeling and Applications","10.1145/781606.781633","user-supplied PDF",FULL_READ,"native_tri/vorsatz2003_dynamic.md","dynamic operators; source-domain link; feature skeleton"
native_tri,wang2018_angle_bounded,"Isotropic Surface Remeshing without Large and Small Angles","Wang; Yan; Liu; Tang; Guo; Zhang; Wonka",2018,"IEEE TVCG","10.1109/TVCG.2018.2837115","https://repository.kaust.edu.sa/items/617eca35-4d22-4f07-9e38-ce5b878dec54",FULL_READ,"native_tri/wang2018_angles.md","paired angle queues; insertion; removal; error-aware local operators"
native_tri,fuhrmann2010_direct,"Direct Resampling for Isotropic Surface Remeshing","Fuhrmann; Ackermann; Kalbe; Goesele",2010,"Vision Modeling and Visualization","10.2312/PE/VMV/VMV10/009-016","https://diglib.eg.org/items/5f95db9b-042f-409f-aaf8-413e192f5665",QUEUED,,"exact vertex budget; mutual tessellation; feature tags"
native_tri,lv2022_curvature_smoothed,"Adaptively Isotropic Remeshing Based on Curvature Smoothed Field","Lv; Lin; Zheng",2022,"IEEE TVCG","10.1109/TVCG.2022.3227970","https://aliexken.github.io/papers/2022_Remeshing.pdf",QUEUED,,"smoothed curvature field; distorted-face preprocessing"
native_tri,du2015_equilateral,"As-Equilateral-as-Possible Surface Remeshing","Du; Jin; Tong",2015,"Journal of Advanced Mechanical Design Systems and Manufacturing","10.1299/jamdsm.2015jamdsm0052","https://www.jstage.jst.go.jp/article/jamdsm/9/4/9_2015jamdsm0052/_article/-char/en",QUEUED,,"connectivity regularization; equilateral fitting"
native_tri,borouchaki2005_envelope,"Simplification of Surface Mesh Using Hausdorff Envelope","Borouchaki; Frey",2005,"Computer Methods in Applied Mechanics and Engineering","10.1016/j.cma.2004.11.016","user-supplied PDF",FULL_READ,"native_tri/borouchaki2005_envelope.md","Hausdorff envelope; normal cone; guarded local edits"
native_tri,cohensteiner2004_variational,"Variational Shape Approximation","Cohen-Steiner; Alliez; Desbrun",2004,"ACM Transactions on Graphics","10.1145/1015706.1015817","https://citeseerx.ist.psu.edu/document?doi=6aabbe52a9ffa3bc669e06907b17c524ae761b60&repid=rep1&type=pdf",QUEUED,,"proxy clustering; normal-deviation error; anisotropy"
native_tri,alliez2002_interactive,"Interactive Geometry Remeshing","Alliez; Meyer; Desbrun",2002,"ACM Transactions on Graphics","10.1145/566654.566588","https://pages.saclay.inria.fr/mathieu.desbrun/pubs/AMD02.pdf",QUEUED,,"control maps; sampling; Delaunay; parameterization"
native_tri,yang2020_compatible,"Error-Bounded Compatible Remeshing","Yang; Zhang; Liu; Liu; Fu",2020,"ACM Transactions on Graphics","10.1145/3386569.3392434","user-supplied PDF",FULL_READ,"native_tri/yang2020_compatible.md","error bound; compatible meshes; transactional local checks"
