input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,auto,pass,4.17,20,pass,"2026-04-10T04:28:13.101886Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_auto/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,quadwild,pass,4.18,20,pass,"2026-04-10T04:28:17.319466Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_quadwild/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,vorpalite,pass,3.4,20,pass,"2026-04-10T04:28:20.897393Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_vorpalite/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,pyacvd,pass,3.42,20,pass,"2026-04-10T04:28:24.371964Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_pyacvd/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,pymeshlab,pass,4.12,20,pass,"2026-04-10T04:28:28.278535Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_pymeshlab/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,none,pass,4.3,20,pass,"2026-04-10T04:28:32.556071Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_none/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,auto,pass,2.23,20,pass,"2026-04-10T04:28:35.728726Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T04:28:35.729193Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:28:35.729512Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:28:35.729658Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,quadwild,pass,2.26,20,pass,"2026-04-10T04:28:37.968444Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T04:28:37.968997Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:28:37.969293Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:28:37.969428Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,vorpalite,pass,2.23,20,pass,"2026-04-10T04:28:40.228900Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T04:28:40.229373Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:28:40.229578Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:28:40.229684Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,pyacvd,pass,2.16,20,pass,"2026-04-10T04:28:42.429416Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T04:28:42.429820Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:28:42.430033Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:28:42.430129Z [info     ] boundary_patches_classified "
