input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,auto,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,quadwild,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,vorpalite,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,pyacvd,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,pymeshlab,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,none,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,auto,pass,2.23,20,pass,"2026-04-10T04:48:05.226750Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:48:05.227377Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:48:05.227587Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:48:05.227692Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,quadwild,pass,2.26,20,pass,"2026-04-10T04:48:07.436221Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:48:07.436730Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:48:07.436955Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:48:07.437063Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,vorpalite,pass,2.27,20,pass,"2026-04-10T04:48:09.756114Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:48:09.756800Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:48:09.757032Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:48:09.757144Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,pyacvd,pass,2.32,20,pass,"2026-04-10T04:48:12.057393Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:48:12.057890Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:48:12.058152Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:48:12.058261Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,pymeshlab,pass,2.17,20,pass,"2026-04-10T04:48:14.283893Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:48:14.284328Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:48:14.284581Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:48:14.284689Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,none,pass,2.34,20,pass,"2026-04-10T04:48:16.595817Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:48:16.596292Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:48:16.596538Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:48:16.596650Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,auto,pass,9.07,120,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,quadwild,pass,9.24,120,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,vorpalite,pass,9.29,120,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,pyacvd,pass,12.5,120,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,pymeshlab,pass,12.95,120,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,none,pass,10.28,120,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,auto,timeout,120.0,120,timeout,timeout(120s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,quadwild,timeout,120.0,120,timeout,timeout(120s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,vorpalite,timeout,120.0,120,timeout,timeout(120s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,pyacvd,timeout,120.0,120,timeout,timeout(120s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,pymeshlab,timeout,120.0,120,timeout,timeout(120s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,none,timeout,120.0,120,timeout,timeout(120s)
