input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,auto,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,quadwild,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,vorpalite,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,pyacvd,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,pymeshlab,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,auto,none,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,auto,pass,3.58,12,pass,"2026-04-10T04:51:12.364632Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:51:12.365859Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:51:12.366274Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:51:12.366473Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,quadwild,pass,2.12,12,pass,"2026-04-10T04:51:14.700997Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:51:14.701380Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:51:14.701592Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:51:14.701700Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,vorpalite,pass,2.12,12,pass,"2026-04-10T04:51:16.820472Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:51:16.820912Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:51:16.821120Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:51:16.821226Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,pyacvd,pass,2.36,12,pass,"2026-04-10T04:51:19.124359Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:51:19.124781Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:51:19.124993Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:51:19.125098Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,pymeshlab,pass,2.23,12,pass,"2026-04-10T04:51:21.373400Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:51:21.373891Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:51:21.374206Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:51:21.374316Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,core,none,pass,2.18,12,pass,"2026-04-10T04:51:23.556785Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=standard soft_fails=0 verdict=PASS; 2026-04-10T04:51:23.557174Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T04:51:23.557385Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T04:51:23.557490Z [info     ] boundary_patches_classifi"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,auto,pass,9.08,30,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,quadwild,pass,10.86,30,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,vorpalite,pass,11.53,30,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,pyacvd,pass,13.61,30,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,pymeshlab,pass,13.34,30,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,netgen,none,pass,9.24,30,pass,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,auto,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,quadwild,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,vorpalite,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,pyacvd,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,pymeshlab,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,snappy,none,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,cfmesh,auto,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,cfmesh,quadwild,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,cfmesh,vorpalite,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,cfmesh,pyacvd,timeout,30.0,30,timeout,timeout(30s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,standard,cfmesh,pymeshlab,pass,28.62,30,pass,"2026-04-10T04:58:00.873308Z [info     ] boundary_classified            [core.utils.boundary_classifier] patches=[('patch0', 'wall')]; 2026-04-10T04:58:00.938167Z [info     ] boundary_patches_classified    [core.pipeline.orchestrator] count=1 patches=[('patch0', 'wall')]; 2026-04-10T04:58:00.940184Z [info     ] boundary_conditions_written    [core.utils.bc_writer] files=['0/p', '0/U', '0/k', '0/omega', '0/nut', 'constant/transportProperties', 'constant/turbulenceProperties']; 2026-04-10T04:58:00."
