input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,auto,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,quadwild,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,vorpalite,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,pyacvd,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,pymeshlab,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,none,timeout,12.0,12,timeout,timeout(12s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,core,auto,pass,2.26,12,pass,"2026-04-10T01:57:38.762502Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=fine soft_fails=0 verdict=PASS; 2026-04-10T01:57:38.762977Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:57:38.763201Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:57:38.763310Z [info     ] boundary_patches_classified  "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,core,quadwild,pass,2.18,12,pass,"2026-04-10T01:57:41.007731Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=fine soft_fails=0 verdict=PASS; 2026-04-10T01:57:41.008283Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:57:41.008539Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:57:41.008653Z [info     ] boundary_patches_classified  "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,core,vorpalite,pass,2.12,12,pass,"2026-04-10T01:57:43.080625Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=fine soft_fails=0 verdict=PASS; 2026-04-10T01:57:43.081080Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:57:43.081295Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:57:43.081401Z [info     ] boundary_patches_classified  "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,core,pyacvd,pass,2.15,12,pass,"2026-04-10T01:57:45.230943Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=fine soft_fails=0 verdict=PASS; 2026-04-10T01:57:45.231395Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:57:45.231613Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:57:45.231719Z [info     ] boundary_patches_classified  "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,core,pymeshlab,pass,2.24,12,pass,"2026-04-10T01:57:47.446529Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=fine soft_fails=0 verdict=PASS; 2026-04-10T01:57:47.447025Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:57:47.447261Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:57:47.447372Z [info     ] boundary_patches_classified  "
