input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,auto,pass,4.41,12,pass,"2026-04-10T01:32:39.826364Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_auto/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,quadwild,pass,5.04,12,pass,"2026-04-10T01:32:44.463072Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_quadwild/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,vorpalite,pass,5.57,12,pass,"2026-04-10T01:32:49.639102Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_vorpalite/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,pyacvd,pass,4.26,12,pass,"2026-04-10T01:32:54.945372Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_pyacvd/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,pymeshlab,pass,4.97,12,pass,"2026-04-10T01:32:59.782761Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_pymeshlab/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,none,pass,3.99,12,pass,"2026-04-10T01:33:03.828799Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_none/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,auto,pass,2.14,12,pass,"2026-04-10T01:33:06.891410Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T01:33:06.891848Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:33:06.892061Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:33:06.892180Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,quadwild,pass,2.21,12,pass,"2026-04-10T01:33:09.058388Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T01:33:09.058982Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:33:09.059259Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:33:09.059398Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,vorpalite,pass,2.29,12,pass,"2026-04-10T01:33:11.275248Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T01:33:11.275760Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:33:11.275990Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:33:11.276097Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,pyacvd,pass,2.32,12,pass,"2026-04-10T01:33:13.693264Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T01:33:13.693947Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:33:13.694192Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:33:13.694324Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,pymeshlab,pass,2.23,12,pass,"2026-04-10T01:33:15.937159Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T01:33:15.937600Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:33:15.937803Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:33:15.937908Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,none,pass,2.21,12,pass,"2026-04-10T01:33:18.124271Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=draft soft_fails=0 verdict=PASS; 2026-04-10T01:33:18.124744Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T01:33:18.125005Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T01:33:18.125117Z [info     ] boundary_patches_classified "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,netgen,auto,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,netgen,quadwild,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,netgen,vorpalite,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,netgen,pyacvd,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,netgen,pymeshlab,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,netgen,none,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,snappy,auto,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,snappy,quadwild,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,snappy,vorpalite,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,snappy,pyacvd,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,snappy,pymeshlab,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,snappy,none,timeout,20.0,20,timeout,timeout(20s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,cfmesh,auto,pass,18.0,20,pass,"2026-04-10T01:37:37.284433Z [info     ] boundary_classified            [core.utils.boundary_classifier] patches=[('patch0', 'wall')]; 2026-04-10T01:37:37.297727Z [info     ] boundary_patches_classified    [core.pipeline.orchestrator] count=1 patches=[('patch0', 'wall')]; 2026-04-10T01:37:37.299534Z [info     ] boundary_conditions_written    [core.utils.bc_writer] files=['0/p', '0/U', '0/k', '0/omega', '0/nut', 'constant/transportProperties', 'constant/turbulenceProperties']; 2026-04-10T01:37:37."
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,cfmesh,quadwild,pass,18.1,20,pass,"2026-04-10T01:37:55.416043Z [info     ] boundary_classified            [core.utils.boundary_classifier] patches=[('patch0', 'wall')]; 2026-04-10T01:37:55.431069Z [info     ] boundary_patches_classified    [core.pipeline.orchestrator] count=1 patches=[('patch0', 'wall')]; 2026-04-10T01:37:55.432896Z [info     ] boundary_conditions_written    [core.utils.bc_writer] files=['0/p', '0/U', '0/k', '0/omega', '0/nut', 'constant/transportProperties', 'constant/turbulenceProperties']; 2026-04-10T01:37:55."
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,cfmesh,vorpalite,pass,17.65,20,pass,"2026-04-10T01:38:13.073728Z [info     ] boundary_classified            [core.utils.boundary_classifier] patches=[('patch0', 'wall')]; 2026-04-10T01:38:13.089608Z [info     ] boundary_patches_classified    [core.pipeline.orchestrator] count=1 patches=[('patch0', 'wall')]; 2026-04-10T01:38:13.091453Z [info     ] boundary_conditions_written    [core.utils.bc_writer] files=['0/p', '0/U', '0/k', '0/omega', '0/nut', 'constant/transportProperties', 'constant/turbulenceProperties']; 2026-04-10T01:38:13."
