input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,auto,pass,5.86,8,pass,"2026-04-10T01:26:00.218590Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_auto/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,quadwild,pass,3.81,8,pass,"2026-04-10T01:26:04.243033Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_quadwild/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,vorpalite,pass,4.55,8,pass,"2026-04-10T01:26:08.589313Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_vorpalite/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,pyacvd,pass,3.86,8,pass,"2026-04-10T01:26:12.622627Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_pyacvd/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,pymeshlab,pass,3.76,8,pass,"2026-04-10T01:26:16.429817Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_pymeshlab/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,auto,none,pass,4.61,8,pass,"2026-04-10T01:26:20.835717Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_draft_auto_none/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,auto,pass,2.62,8,pass,"2026-04-10T01:26:24.835946Z [warning  ] foamToVTK 실패                   [core.evaluator.metrics] error=""OpenFOAM utility 'foamToVTK' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL IO ERROR: (openfoam-2406 patch=260127)\nCannot find patchField entry for walls\n\nfile: 0/epsilon/boundaryField at line 18 to 40.\n\n    From void Foam::GeometricBoundaryField<Type, PatchField, GeoMesh>::readField(const Internal&, const Foam::dictionary&) [with Type = double; PatchField = Foam::fvPatchField; GeoMesh = Foam::volMesh; Internal = Foam::DimensionedField<double, Foam::volMesh>]\n    in file ./src/OpenFOAM/lnInclude/GeometricBoundaryField.C at line 330.\n\nFOAM exiting\n\n"""
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,quadwild,pass,2.55,8,pass,"2026-04-10T01:26:27.348896Z [warning  ] foamToVTK 실패                   [core.evaluator.metrics] error=""OpenFOAM utility 'foamToVTK' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL IO ERROR: (openfoam-2406 patch=260127)\nCannot find patchField entry for walls\n\nfile: 0/epsilon/boundaryField at line 18 to 40.\n\n    From void Foam::GeometricBoundaryField<Type, PatchField, GeoMesh>::readField(const Internal&, const Foam::dictionary&) [with Type = double; PatchField = Foam::fvPatchField; GeoMesh = Foam::volMesh; Internal = Foam::DimensionedField<double, Foam::volMesh>]\n    in file ./src/OpenFOAM/lnInclude/GeometricBoundaryField.C at line 330.\n\nFOAM exiting\n\n"""
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,vorpalite,pass,2.65,8,pass,"2026-04-10T01:26:30.009147Z [warning  ] foamToVTK 실패                   [core.evaluator.metrics] error=""OpenFOAM utility 'foamToVTK' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL IO ERROR: (openfoam-2406 patch=260127)\nCannot find patchField entry for walls\n\nfile: 0/epsilon/boundaryField at line 18 to 40.\n\n    From void Foam::GeometricBoundaryField<Type, PatchField, GeoMesh>::readField(const Internal&, const Foam::dictionary&) [with Type = double; PatchField = Foam::fvPatchField; GeoMesh = Foam::volMesh; Internal = Foam::DimensionedField<double, Foam::volMesh>]\n    in file ./src/OpenFOAM/lnInclude/GeometricBoundaryField.C at line 330.\n\nFOAM exiting\n\n"""
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,draft,core,pyacvd,pass,2.66,8,pass,"2026-04-10T01:26:32.590904Z [warning  ] foamToVTK 실패                   [core.evaluator.metrics] error=""OpenFOAM utility 'foamToVTK' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL IO ERROR: (openfoam-2406 patch=260127)\nCannot find patchField entry for walls\n\nfile: 0/epsilon/boundaryField at line 18 to 40.\n\n    From void Foam::GeometricBoundaryField<Type, PatchField, GeoMesh>::readField(const Internal&, const Foam::dictionary&) [with Type = double; PatchField = Foam::fvPatchField; GeoMesh = Foam::volMesh; Internal = Foam::DimensionedField<double, Foam::volMesh>]\n    in file ./src/OpenFOAM/lnInclude/GeometricBoundaryField.C at line 330.\n\nFOAM exiting\n\n"""
